id,author,author_authorized_heading,author_lccn,author_viaf,author_wikidata,best_rank,debut_rank,first_week,oclc,oclc_eholdings,oclc_holdings,oclc_isbn,oclc_owi,title,total_weeks,year
4656,Margaret Atwood,"Atwood, Margaret, 1939-",n79102766,109322990,Q183492,6,6,9/24/00,43287739,358,5628,0385475721,141006773,THE BLIND ASSASSIN,7,2000
4657,Hugh Walpole,"Walpole, Hugh, 1884-1941",n79151207,76523409,Q548004,5,5,8/18/41,1344065,34,543,,2237880,THE BLIND MAN'S HOUSE,2,1941
4658,Brent Weeks,"Weeks, Brent",no2009009910,103339594,Q909874,11,11,9/30/12,776525067,105,1362,9.78032E+12,1112015044,THE BLINDING KNIFE,1,2012
4659,James Rollins and Rebecca Cantrell,,,,,8,8,1/27/13,,,,,,THE BLOOD GOSPEL,1,2013
466,Andrew M. Greeley,"Greeley, Andrew M., 1928-2013",n79054727,97864608,Q504923,7,8,2/16/86,12344155,39,1941,0446512931,6346,ANGELS OF SEPTEMBER,6,1986
4660,Brent Weeks,"Weeks, Brent",no2009009910,103339594,Q909874,8,8,11/13/16,951619818,123,1141,9.78032E+12,3169902447,THE BLOOD MIRROR,1,2016
4661,Joseph Wambaugh,"Wambaugh, Joseph",n50026486,110352691,Q1352236,6,10,3/19/72,236054,287,1835,,449043,THE BLUE KNIGHT,17,1972
4662,Martha Grimes,"Grimes, Martha",n81051185,22962196,Q188286,11,12,9/30/01,47643937,199,2666,067003004X,6355621,THE BLUE LAST,3,2001
4663,Jeffery Deaver,"Deaver, Jeffery",n82232411,98682359,Q358188,14,14,5/20/01,45661481,94,3350,0684871270,835963,THE BLUE NOWHERE,1,2001
4664,Andrew Gross,"Gross, Andrew, 1952-",no2008067609,19925927,Q3616265,12,12,5/6/07,72702341,201,2820,0061143405,136796280,THE BLUE ZONE,1,2007
4665,Toni Morrison,"Morrison, Toni",n80131379,109406177,Q72334,3,7,5/14/00,30110136,675,10212,9.78045E+12,1169431,THE BLUEST EYE,11,2000
4666,Lothar-Guenther Buchheim,,,,,9,10,7/27/75,,,,,,THE BOAT,3,1975
4667,Lothar-Gunther Buchheim,"Petersen, Wolfgang",n88612928,84318625,Q65321,10,10,8/31/75,39537261,0,2959,0767802470,1082396377,THE BOAT,1,1975
4668,Jeffery Deaver,"Deaver, Jeffery",n82232411,98682359,Q358188,13,13,11/30/08,229025477,93,3752,9.78142E+12,2999635872,THE BODIES LEFT BEHIND,2,2008
4669,Patricia Cornwell,"Cornwell, Patricia Daniels",n82218798,36976332,Q231467,2,7,9/18/94,30035430,152,4547,0684195976,4915123515,THE BODY FARM,10,1994
467,Wallace Stegner,"Stegner, Wallace, 1909-1993",n79021163,110195864,Q203460,8,8,5/23/71,127553,231,4521,014016930X,503131694,ANGLE OF REPOSE,1,1971
4670,Philippa Gregory,"Gregory, Philippa",n85299303,19698456,Q240212,10,12,12/24/06,71810153,125,3632,0743272501,58485188,THE BOLEYN INHERITANCE,10,2006
4671,Hannah Crafts,"Crafts, Hannah",n2002033450,79186598,Q3126834,14,14,4/28/02,49393359,58,2497,0446530085,701471,THE BONDWOMAN'S NARRATIVE,1,2002
4672,Patricia Cornwell,"Cornwell, Patricia Daniels",n82218798,36976332,Q231467,4,4,11/4/12,792880229,173,4300,9.7804E+12,1120970290,THE BONE BED,5,2012
4673,David Mitchell,"Mitchell, David",n00022382,85328187,Q40479,3,3,9/21/14,879370677,347,3384,1400065674,1856754492,THE BONE CLOCKS,6,2014
4674,Tess Gerritsen,"Gerritsen, Tess",n85335215,101994701,Q6950,10,10,10/7/07,156892030,397,4054,9.78035E+12,102828236,THE BONE GARDEN,4,2007
4675,Samantha Shannon,"Shannon, Samantha, 1991-",n2012066932,272301964,Q7408727,7,7,9/8/13,814301490,445,2377,9.78162E+12,1409217332,THE BONE SEASON,3,2013
4676,Greg Iles,"Iles, Greg",n92107079,72241064,Q1349027,4,4,5/10/15,894491761,234,3232,9.78006E+12,651616945,THE BONE TREE,5,2015
4677,Linda Fairstein,"Fairstein, Linda A.",n93026108,85486730,Q6551554,10,10,2/9/03,50115656,44,2206,0743223543,12393123422,THE BONE VAULT,2,2003
4678,Amy Tan,"Tan, Amy",n88021941,110768273,Q234989,2,2,3/11/01,44883576,174,5764,0399146431,45123,THE BONESETTER'S DAUGHTER,16,2001
4679,Tom Wolfe,"Wolfe, Tom",n79062804,119067502,Q216195,1,10,11/8/87,16085837,214,5845,0374115346,600031,THE BONFIRE OF THE VANITIES,56,1987
468,Angus Wilson,"Wilson, Angus, 1913-1991",n50015503,99853190,Q287460,11,12,10/28/56,1249804,81,1898,,196528344,ANGLO-SAXON ATTITUDES,13,1956
4680,Marek Halter,"Halter, Marek",n84099649,76316791,Q2349371,6,8,5/18/86,12421793,41,1684,0030718872,810648,THE BOOK OF ABRAHAM,6,1986
4681,Michael Gruber,"Gruber, Michael, 1940-",n2004034686,43003143,Q3274912,16,16,4/15/07,70778372,104,1732,0060874465,57812101,THE BOOK OF AIR AND SHADOWS,1,2007
4682,Brad Meltzer,"Meltzer, Brad",n96091726,71553587,Q896846,1,1,9/24/06,64592069,346,3267,0446530999,48534917,THE BOOK OF FATE,7,2006
4683,Garrison Keillor,"Keillor, Garrison",n81079537,79812213,Q183031,6,6,12/19/93,28182310,65,2153,067084943X,345486,THE BOOK OF GUYS,9,1993
4684,Brad Meltzer,"Meltzer, Brad",n96091726,71553587,Q896846,2,2,9/21/08,214935200,356,3234,9.78045E+12,131675150,THE BOOK OF LIES,5,2008
4685,Deborah Harkness,"Harkness, Deborah E., 1965-",n98074390,117039140,Q2541295,1,1,8/3/14,878301024,273,3235,9.78067E+12,4714719330,THE BOOK OF LIFE,7,2014
4686,Chaim Potok,"Potok, Chaim",n50019835,51694687,Q560735,13,15,11/29/81,7460681,51,2167,0394520319,463392,THE BOOK OF LIGHTS,3,1981
4687,Sue Monk Kidd,"Kidd, Sue Monk",n85157706,3327561,Q291774,5,6,5/10/20,1122804357,187,3095,9.78053E+12,9573775050,THE BOOK OF LONGINGS,6,2020
