htid	author	author_authorized_heading	author_lccn	author_viaf	author_wikidata_qid	best_rank	debut_rank	first_week	hathi_rights	isbn	oclc	oclc_eholdings	oclc_holdings	oclc_owi	title	title_id	year
mdp.39015064689691	Lisa Jackson	Jackson, Lisa	no91028092	50377559	Q476660	4	2	2006-04-23	ic	075821393X	70273272	291	2633	48502573	SHIVER	4061	2006
mdp.39015053382985	Robin Cook	Cook, Robin, 1940-	n79117119	109274608	Q352059	5	3	2001-09-16	ic	0399146008	46951644	117	3266	748197	SHOCK	4062	2001
mdp.39015038410083	Clive Cussler	Cussler, Clive	n81043521	56608054	Q366266	3	15	1995-12-24	ic	068480297X	33277400	20	3254	55973363	SHOCK WAVE	4063	1995
mdp.39015070756625	Stuart Woods	Woods, Stuart	n79045422	108957653	Q3500849	5	7	2007-10-14	ic	0399154442	123912564	188	2464	102569798	SHOOT HIM IF HE RUNS	4067	2007
mdp.39015067679517	Sophie Kinsella	Kinsella, Sophie	n00032737	19665045	Q235014	1	4	2007-03-18	ic	0385338708	71790114	384	2977	58668802	SHOPAHOLIC & BABY	4068	2007
mdp.39015066047567	Sophie Kinsella	Kinsella, Sophie	n00032737	19665045	Q235014	9	15	2004-10-17	ic	0385338090	55495196	397	2887	363947	SHOPAHOLIC & SISTER	4069	2004
mdp.39015066740948	Stuart Woods	Woods, Stuart	n79045422	108957653	Q3500849	6	12	2006-10-29	ic	9780399153686	64085042	176	3659	48094616	SHORT STRAW	4072	2006
mdp.39015055835816	Robert B. Parker	Parker, Robert B., 1932-2010	n79063642	101763416	Q550819	6	1	2002-10-06	ic	0399149309	49352048	203	2919	374393189	SHRINK RAP	4074	2002
mdp.39015048828811	Carl Hiaasen	Hiaasen, Carl	n85133706	2519004	Q726177	6	12	2000-01-23	ic	0679454454	41565087	233	3043	196091038	SICK PUPPY	4076	2000
uc1.b3688035	Mary Ellen Chase	Chase, Mary Ellen, 1887-1973	n50038212	69187174	Q1337504	4	5	1935-12-02	ic		840384	14	1010	1426842	SILAS CROCKETT	4080	1935
uc1.$b56362	Mary Ellen Chase	Chase, Mary Ellen, 1887-1973	n50038212	69187174	Q1337504	4	5	1935-12-02	ic		840384	14	1010	1426842	SILAS CROCKETT	4080	1935
mdp.39015004308212	Mary Ellen Chase	Chase, Mary Ellen, 1887-1973	n50038212	69187174	Q1337504	4	5	1935-12-02	ic		280597	14	1010	1426842	SILAS CROCKETT	4080	1935
mdp.39015038528215	Danielle Steel	Steel, Danielle	n80061569	100238676	Q72653	1	2	1996-11-24	ic	0385317123	34576683	264	3790	4922975527	SILENT HONOR	4083	1996
pst.000058048085	Danielle Steel	Steel, Danielle	n80061569	100238676	Q72653	1	2	1996-11-24	ic	0385317123	34576683	264	3790	4922975527	SILENT HONOR	4083	1996
mdp.49015002829555	Danielle Steel	Steel, Danielle	n80061569	100238676	Q72653	1	2	1996-11-24	ic	0385317123	34576683	264	3790	4922975527	SILENT HONOR	4083	1996
mdp.49015002950823	Danielle Steel	Steel, Danielle	n80061569	100238676	Q72653	1	2	1996-11-24	ic	1568652313	36330073	264	3790	4922975527	SILENT HONOR	4083	1996
mdp.39015034535867	Mary Higgins Clark	Clark, Mary Higgins,	n80007955	100252785	Q231736	2	15	1995-10-22	ic	0684815451	32924074	118	3962	2564784880	SILENT NIGHT	4086	1995
mdp.39015033336978	Michael Palmer	Palmer, Michael, 1942-2013	n85192107	100912074	Q2386817	9	7	1995-04-02	ic	0553095161	31514319	180	2102	888520	SILENT TREATMENT	4091	1995
mdp.39015066055602	Richard North Patterson	Patterson, Richard North	n78093612	85314580	Q1678883	3	4	1997-01-26	ic	0679450408	35593598	67	3091	613973	SILENT WITNESS	4092	1997
mdp.39015016414834	F. Van Wyck Mason	Mason, F. van Wyck (Francis van Wyck), 1901-1978	n80067551	57912804	Q4309918	16	16	1955-11-13	ic		1420398	11	309	422886637	SILVER LEOPARD	4097	1955
uc1.b3688126	Edwin Gilbert	Gilbert, Edwin	n50027527	479948	Q5346446	2	11	1957-05-26	und		1436262	22	272	2330815	SILVER SPOON	4100	1957
mdp.39015054378057	Larry McMurtry	McMurtry, Larry, 1936- ..	n79027185	36935272	Q611672	12	9	2002-05-26	ic	0743233026	48811051	45	3672	196415550	SIN KILLER	4103	2002
uc1.$b106417	Ann Bridge	Bridge, Ann, 1889-1974	n50031175	40443276	Q13511828	6	6	1946-07-14	ic		366607	38	670	1428009	SINGING WATERS	4110	1946
mdp.39015000551682	Ann Bridge	Bridge, Ann, 1889-1974	n50031175	40443276	Q13511828	6	6	1946-07-14	ic		366607	38	670	1428009	SINGING WATERS	4110	1946
uc1.b4469976	Madison Cooper	Cooper, Madison (Madison A.)	no97018410	161527285	Q6727922	7	9	1952-11-23	ic		313641	11	363	346113981	SIRONIA, TEXAS	4115	1952
mdp.39015016447164	Madison Cooper	Cooper, Madison (Madison A.)	no97018410	161527285	Q6727922	7	9	1952-11-23	ic		313641	11	363	346113981	SIRONIA, TEXAS	4115	1952
uc1.$b87172	Madison Cooper	Cooper, Madison (Madison A.)	no97018410	161527285	Q6727922	7	9	1952-11-23	ic		313641	11	363	346113981	SIRONIA, TEXAS	4115	1952
mdp.39015016447156	Madison Cooper	Cooper, Madison (Madison A.)	no97018410	161527285	Q6727922	7	9	1952-11-23	ic		313641	11	363	346113981	SIRONIA, TEXAS	4115	1952
uc1.$b87173	Madison Cooper	Cooper, Madison (Madison A.)	no97018410	161527285	Q6727922	7	9	1952-11-23	ic		313641	11	363	346113981	SIRONIA, TEXAS	4115	1952
uc1.b4469977	Madison Cooper	Cooper, Madison (Madison A.)	no97018410	161527285	Q6727922	7	9	1952-11-23	ic		313641	11	363	346113981	SIRONIA, TEXAS	4115	1952
mdp.39015067683550	Danielle Steel	Steel, Danielle	n80061569	100238676	Q72653	2	5	2007-03-04	ic	9780385340229	70292157	259	4689	60802664	SISTERS	4119	2007
mdp.39015073982731	Jayne Ann Krentz	Krentz, Jayne Ann	n85135118	66032852	Q438345	4	9	2008-02-17	ic	0399154450	154688715	173	3679	104643028	SIZZLE AND BURN	4124	2008
uc1.32106007992271	Stephen King	King, Stephen 1947-	n79063767	97113511	Q39829	1	11	1985-06-23	ic	039913039X	11029811	279	4202	546950	SKELETON CREW	4126	1985
mdp.39015058856298	Carl Hiaasen	Hiaasen, Carl	n85133706	2519004	Q726177	2	11	2004-08-01	ic	0375411089	54349637	256	3714	175653	SKINNY DIP	4133	2004
mdp.39015046339316	Tom Robbins	Robbins, Tom, 1932-	n81024912	308180309	Q452404	4	6	1990-04-22	ic	0553057758	20669779	144	2223	4535822962	SKINNY LEGS AND ALL	4134	1990
mdp.39015053541309	John Grisham	Grisham, John	n88231236	7449742	Q106465	1	1	2001-11-25	ic	0385506244	54083800	405	6167	831843	SKIPPING CHRISTMAS	4136	2001
mdp.39015020747013	Kurt Vonnegut	Vonnegut, Kurt	n79062641	71398958	Q49074	4	8	1976-09-26	ic	0-440-08046-x	2421498	233	3315	456882	SLAPSTICK	4139	1976
pst.000050573486	Tama Janowitz	Janowitz, Tama	n80155450	85390502	Q275563	15	1	1986-08-24	ic	0671673076	19227702	2	881	6086611	SLAVES OF NEW YORK	4141	1986
mdp.39015020678473	Max Shulman	Shulman, Max, 1919-1988	n86086097	67949831	Q6795240	7	2	1950-04-30	ic		1060083	44	186	148176688	SLEEP TILL NOON	4143	1950
uc1.32106002129325	Ross MacDonald	Macdonald, Ross, 1915-1983	n79056282	60355518	Q318297	9	1	1973-05-27	ic	9780394484747	539704	93	1458	111289517	SLEEPING BEAUTY	4147	1973
mdp.39015050695512	Ross MacDonald	Macdonald, Ross, 1915-1983	n79056282	60355518	Q318297	9	1	1973-05-27	ic	0375708669	46809491	93	1458	111289517	SLEEPING BEAUTY	4147	1973
mdp.39015064872834	Kay Hooper	Hooper, Kay	n87862357	12319899	Q440793	10	11	2006-08-06	ic	9780553803181	65198030	171	2707	49049480	SLEEPING WITH FEAR	4149	2006
mdp.39015059130461	Mary Balogh	Balogh, Mary	no90019943	79370096	Q3296143	12	5	2004-06-20	ic	0385338112	53993080	238	1887	884473	SLIGHTLY DANGEROUS	4151	2004
mdp.39015050499121	Amanda Quick	Quick, Amanda	n91026387	106085381	Q438345	8	3	2001-04-22	ic	0553801880	44683447	196	2937	773880	SLIGHTLY SHADY	4152	2001
mdp.39015062563773	Julie Garwood	Garwood, Julie	n85061934	84050401	Q290686	3	4	2005-09-18	ic	0345453840	57517937	283	3277	34521177	SLOW BURN	4154	2005
mdp.39015041008676	Robert B. Parker	Parker, Robert B., 1932-2010	n79063642	101763416	Q550819	7	15	1997-04-20	ic	0399142444	35025701	181	2829	374392250	SMALL VICES	4159	1997
mdp.39015031231189	Warwick Deeping	Deeping, Warwick, 1877-1950	n82131987	76774191	Q2550081	3	3	1932-10-17	ic		789345	3	182	1730317	SMITH	4165	1932
mdp.39015054153955	Jayne Ann Krentz	Krentz, Jayne Ann, 1948-	n85135118	66032852	Q438345	6	2	2002-01-27	ic	0399147926	46366228	155	2873	811540	SMOKE IN MIRRORS	4167	2002
mdp.39015079245166	Sandra Brown	Brown, Sandra	n88012222	114156159	Q258096	1	6	2008-08-31	ic	0340961813	236187734	80	4469	116297557	SMOKE SCREEN	4168	2008
uc1.$b56156	David Pilgrim	Pilgrim, David	n80136431	305327356		6	6	1937-10-18	ic		1459103	1	201	19717366	SO GREAT A MAN	4177	1937
mdp.39015048901733	John P. Marquand	Marquand, John P. (John Phillips), 1893-1960	n79061320	7473159	Q1190579	1	2	1943-08-30	ic		289170	60	1590	1466207	SO LITTLE TIME	4179	1943
mdp.39015031608030	John P. Marquand	Marquand, John P. (John Phillips), 1893-1960	n79061320	7473159	Q1190579	1	2	1943-08-30	ic		289170	60	1590	1466207	SO LITTLE TIME	4179	1943
uc1.$b102222	John P. Marquand	Marquand, John P. (John Phillips), 1893-1960	n79061320	7473159	Q1190579	1	2	1943-08-30	ic		289170	60	1590	1466207	SO LITTLE TIME	4179	1943
uc1.b3710901	John P. Marquand	Marquand, John P. (John Phillips), 1893-1960	n79061320	7473159	Q1190579	1	2	1943-08-30	ic		289170	60	1590	1466207	SO LITTLE TIME	4179	1943
