id	author	author_authorized_heading	author_lccn	author_viaf	author_wikidata	best_rank	debut_rank	first_week	oclc	oclc_eholdings	oclc_holdings	oclc_isbn	oclc_owi	title	total_weeks	year
2870	Terry Brooks	Brooks, Terry	n81119593	73911214	Q318845	12	12	1986-05-11	12807703.0	170	2083	0345317572	683179	MAGIC KINGDOM FOR SALE: Sold!	2	1986
2871	Alice Hoffman	Hoffman, Alice	n80046698	85550312	Q452722	6	6	2020-10-25	1154106544.0	40	2275	9781982108847	9967951037	MAGIC LESSONS	1	2020
2872	Ilona Andrews	Andrews, Ilona,	no2008004836	56408028	Q1659012	16	16	2015-08-23	893894967.0	153	923	9780425270677	2484648220	MAGIC SHIFTS	1	2015
2873	Ilona Andrews	Andrews, Ilona	no2008004836	56408028	Q1659012	11	11	2018-09-16	1020511191.0	117	865	9780425270714	4464270535	MAGIC TRIUMPHS	1	2018
2874	Paul I. Wellman	Wellman, Paul I. (Paul Iselin), 1898-1966	n50002969	32206273	Q7154292	11	13	1962-08-26	925756.0	9	982		918743150	MAGNIFICENT DESTINY	18	1962
2875	Louis Golding	Golding, Louis, 1895-1958	n50034591	9890106	Q5762868	1	2	1932-03-28	530457.0	43	537		1543189	MAGNOLIA STREET	7	1932
2876	Eric Linklater	Linklater, Eric, 1899-1974	n50051591	44337081	Q919835	4	4	1934-03-26	1658188.0	24	398		2463190	MAGNUS MERRIMAN	3	1934
2877	Anthony Horowitz	Horowitz, Anthony, 1955-	n80062674	120002982	Q279305	15	15	2017-06-25	959036988.0	196	2794	9780062645227	52930853	MAGPIE MURDERS	2	2017
2878	John Galsworthy	Galsworthy, John, 1867-1933	n79041972	61561917	Q82248	1	1	1931-11-16	365619.0	36	2064		577159	MAID IN WAITING	9	1931
2879	Livingston Biddle	Biddle, Livingston, 1918-2002	n88074004	11391776	Q6659658	13	14	1950-06-04	366742.0	2	66		101543941	MAIN LINE	3	1950
288	Seth Grahame-Smith	Grahame-Smith, Seth	nb2007008319	102429602	Q311591	4	4	2010-03-21	458890478.0	530	3056	9780446563086	372793093	ABRAHAM LINCOLN: VAMPIRE HUNTER	7	2010
2880	J. Courtney Sullivan	Sullivan, J. Courtney	n2006037345	1895765	Q6105174	7	15	2011-07-10	676726616.0	466	2526	9780307595126	774981349	MAINE	5	2011
2881	Whitley Strieber	Strieber, Whitley	n78018672	111621981	Q1369224	14	15	1989-10-08	19672977.0	11	1186	0399134697	21471964	MAJESTIC	2	1989
2882	Helen Simonson					14	14	2010-03-28						MAJOR PETTIGREW’S LAST STAND	1	2010
2883	Lee Child	Child, Lee (1954- )	n96077849	100304282	Q333719	1	1	2015-09-27	908698981.0	325	4231	9780804178778	2265502985	MAKE ME	7	2015
2884	Chuck Palahniuk	Palahniuk, Chuck	n95106929	85311088	Q268181	8	8	2015-06-14	896126831.0	186	1425	9780385538053	2042130975	MAKE SOMETHING UP	1	2015
2885	Terry Pratchett	Pratchett, Terry	n81047837	76382712	Q46248	4	4	2007-10-07	156845870.0	171	2266	9780061161643	102898450	MAKING MONEY	2	2007
2886	Henri Fauconnier					3	3	1931-12-14						MALAYSIA	1	1931
2887	Danielle Steel	Steel, Danielle	n80061569	100238676	Q72653	2	2	1996-04-28	31657830.0	246	3912	0385315201	418670	MALICE	12	1996
2888	Lisa Jackson	Jackson, Lisa	no91028092	50377559	Q476660	8	8	2009-04-19	268787589.0	216	2827	9780758211842	156172382	MALICE	2	2009
2889	E. Lynn Harris	Harris, E. Lynn	n92105340	13971412	Q1273517	15	15	2009-10-11	317923467.0	40	1173	9781439158906	316813998	MAMA DEAREST	1	2009
289	William Faulkner	Faulkner, William, 1897-1962	n79003304	39376770	Q38392	8	8	1936-11-09	4232050.0	102	6119		407010	ABSALOM, ABSALOM	1	1936
2890	Len Deighton	Deighton, Len, 1929-	n79075579	273905397	Q505274	15	15	1991-08-18	23732391.0	66	1772	0060179368	14853693	MAMISTA	1	1991
2891	J. A. Jance					10	10	2017-04-09						MAN OVERBOARD	1	2017
2892	Erich Segal	Segal, Erich, 1937-2010	n80020781	103647202	Q315343	10	10	1980-06-29	5830053.0	55	1777	0060140313	374392694	MAN, WOMAN AND CHILD	5	1980
2893	Robert Elegant	Elegant, Robert S.	n50031887	36917776	Q3182481	11	13	1980-11-30	6422490.0	68	1278	0070191638	7175532	MANCHU	10	1980
2894	Kyle Onstott	Onstott, Kyle, 1887-1966	n85088103	54649634	Q6451338	15	15	1957-04-21	2123289.0	18	336		131522496	MANDINGO	4	1957
2895	Randy Wayne White	White, Randy Wayne	n88246803	102907844	Q7292502	8	8	2017-04-09	952647250.0	28	1860	9780399576683	3323887433	MANGROVE LIGHTNING	2	2017
2896	Neal Travis	Travis, Neal	n78080798	54706062	Q47496362	11	11	1979-04-01	4496747.0	22	438	0517537788	12485586	MANHATTAN	6	1979
