title,publication_year,genre,publisher,text_awards,nyt_bestseller,author_name,birth_year,gender,ethnicity_national_origin_group,race,birth_nation,native_foreign,immigrant_generation,immigration_year,nations,states,cities,education_level,degree,mfa,degree_institution,university_teacher,teaching_institution,author_awards,scholarship_title,scholar_name,scholarship_year,scholarship_venue,mla_doi,2_author_name,2_birth_year,2_gender,2_ethnicity_national_origin_group,2_race,2_birth_nation,2_native_foreign,2_immigrant_generation,2_immigration_year,2_nations,2_states,2_cities,2_education_level,2_degree,2_mfa,2_degree_institution,2_university_teacher,2_teaching_institution,2_author_awards,3_author_name,3_birth_year,3_gender,3_ethnicity_national_origin_group,3_race,3_birth_nation,3_native_foreign,3_immigrant_generation,3_immigration_year,3_nations,3_states,3_cities,3_education_level,3_degree,3_mfa,3_degree_institution,3_university_teacher,3_teaching_institution,3_author_awards,4_author_name,4_birth_year,4_gender,4_ethnicity_national_origin_group,4_race,4_birth_nation,4_native_foreign,4_immigrant_generation,4_immigration_year,4_nations,4_states,4_cities,4_education_level,4_degree,4_mfa,4_degree_institution,4_university_teacher,4_teaching_institution,4_author_awards,,,,,,"Abichandani, Jaishri ",1969,F,Indian,Asian,India,Foreign,1,1984,"India, United States, England",NY,"Bombay, New York City, London",Graduate,Master's,Y,Goldsmith's College,N,N/A,"En Foco 2000 New Works Photography Award, Brooklyn Information & Culture Artist Honoree, Urban Artist's Initiative Award, and more",Sculpting Queer Futures for Survival: Jaishri Abichandani’s Everyday Deities,"Khubchandani, Kareem",2023,Theatre Journal,202330226015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Nostalgist's Map of America,1991,Poetry,W. W. Norton & Company,,N/A,"Ali, Agha Shahid",1949,M,Indian,Asian,India,Foreign,1,1976,"India, United States",,,Graduate,PhD,Y,Pennsylvania State University,Y,"University of Massachusetts Amherst, Bennington College, New York University, and more",Guggenheim Fellowship,Beyond Walden Pond: Asian American Literature and the Limits of Ecocriticism,"Hayashi, Robert T.",2007,Coming into Contact: Explorations in Ecocritical Theory and Practice,2007400264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Ali, Agha Shahid",1949,M,Indian,Asian,India,Foreign,1,1976,"India, United States",,,Graduate,PhD,Y,Pennsylvania State University,Y,"University of Massachusetts Amherst, Bennington College, New York University, and more",Guggenheim Fellowship,"""So There It Is"": An Exploration of Cultural Hybridity in Contemporary Asian American Poetry","Wallinger-Schorn, Brigitte",2011,N/A,2012390485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Ali, Agha Shahid",1949,M,Indian,Asian,India,Foreign,1,1976,"India, United States",,,Graduate,PhD,Y,Pennsylvania State University,Y,"University of Massachusetts Amherst, Bennington College, New York University, and more",Guggenheim Fellowship,South Asian American Writers: Geography and Memory,"Katrak, Ketu H.",1996,Amerasia Journal,10.17953/amer.22.3.053p640g44912217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Country,2015,Short Story(ies),Knopf Doubleday,"PEN/Robert W. Bingham Prize, Janet Heidinger Kafka Prize, Barnes & Noble Discover Great New Writers Award
",N,"Alvar, Mia",1978,F,Filipinx,Asian,Philippines,Foreign,1.5,1988,"Philippines, Bahrain, United States","MA, NY, CA","Cambridge, New York City, Santa Monica",Graduate,Master's,Y,Columbia University,Y,Columbia University,"Sewanee Writer's Conference Fellowship, Bread Loaf Writer's Conference Fellowship, Writer in Residence at the Corporation of Yaddo, and more",Matronly Maids and Willful Women: Migrant Domestic Workers in the Plural,"Patterson, Christian B.",2019,"The Subject(s) of Human Rights: Crises, Violations, and Asian/American Critique",202122864556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¡Yo!,1997,Novel,Algonquin Books,,N,"Alvarez, Julia",1950,F,Dominican,Latinx,United States,Native,,N/A,"Dominican Republic, United States","NY, CT, VT",,Graduate,Master's,Y,Syracuse University,Y,Middlebury College,"National Endowment for the Arts, National Medal of of Arts","Bilingual Brokers: Race, Literature, and Language as Human Capital","Lim, Jeehyun",2017,N/A,2017308459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before We Were Free,2002,Novel,Knopf,Pure Belpré Award,N,"Alvarez, Julia",1950,F,Dominican,Latinx,United States,Native,,N/A,"Dominican Republic, United States","NY, CT, VT",,Graduate,Master's,Y,Syracuse University,Y,Middlebury College,"National Endowment for the Arts, National Medal of of Arts","Bilingual Brokers: Race, Literature, and Language as Human Capital","Lim, Jeehyun",2017,N/A,2017308459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How the García Girls Lost Their Accents,1992,Novel,Algonquin Books,,N,"Alvarez, Julia",1950,F,Dominican,Latinx,United States,Native,,N/A,"Dominican Republic, United States","NY, CT, VT",,Graduate,Master's,Y,Syracuse University,Y,Middlebury College,"National Endowment for the Arts, National Medal of of Arts",Cultural Mediations in Contemporary Asian American and Latina/o Migrant Fiction,"Nagao, Christina Aya",2011,Dissertation Abstracts International,2012421144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Time of the Butterflies,1994,Novel,Algonquin Books,,N,"Alvarez, Julia",1950,F,Dominican,Latinx,United States,Native,,N/A,"Dominican Republic, United States","NY, CT, VT",,Graduate,Master's,Y,Syracuse University,Y,Middlebury College,"National Endowment for the Arts, National Medal of of Arts","Bilingual Brokers: Race, Literature, and Language as Human Capital","Lim, Jeehyun",2017,N/A,2017308459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King of Jazz,1930,Film,Universal Pictures,Academy Award Best Art Direction,N/A,"Anderson, John Murray",1886,M,,,Canada,Foreign,1,,"United States, Scotland, Switzerland",NY,New York City,Undergraduate,Bachelor's,N,Lausanne University,N,N/A,,"Transpacific Convergences: Race, Migration, and Japanese American Film Culture before World War II","Khor, Denise",2022,N/A,202225393372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Promised Land,1912,Prose Nonfiction,Houghton Mifflin,,N/A,"Antin, Mary",1881,F,Jewish,Jewish,Russian Empire (present-day Belarus),Foreign,1,1894,United States,NY,New York City,Some Undergraduate,,N,Columbia University,N,N/A,,Modeling Citizenship: Jewish and Asian-American Writing,"Schlund-Vials, Cathy J.",2011,N/A,2011031427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
