,id,author1,author1_normalized,author2,author3,author4,author_authorized_heading,author_lccn,author_viaf,author_wikidata_qid,date,htid,hathi_rights,title,imprint,isbn,isbn_most_common_edition,lccn,oclc,oclc_owi,oclc_eholdings,oclc_holdings,person_id,place,publisher_marc
767,6908,"Hollo, Anselm.","Hollo, Anselm",,,,"Hollo, Anselm",n79059776,2485795,Q252476,1986,uc1.b3486496,ic,Pick up the house : new & selected poems / Anselm Hollo.,"Coffee House Press ; Distributed by Consortium, 1986.",['0918273188 (pbk. : alk. paper) :'],0918273188,['86004143'],['13214497'],7023930.0,4.0,154.0,3119,mnu,Coffee House Press ;
768,6909,"Starbuck, George 1931-","Starbuck, George",,,,"Starbuck, George, 1931-1996",n80164308,92648452,Q5544798,1978,mdp.39015005354264,ic,Desperate measures/ George Starbuck.,"D. R. Godine, c1978.",[],,[],['4261603'],539291.0,2.0,208.0,3118,mau,D. R. Godine
769,6910,"Jenks, Tom.","Jenks, Tom",,,,"Jenks, Tom",nb2009017698,43279994,,1990,mdp.39015018863541,ic,Our happiness : a novel / Tom Jenks.,"Bantam Books, 1990.",['0553070169 :'],0553070169,['89017944'],['20352541'],13635216.0,2.0,147.0,3699,nyu,Bantam Books
770,6911,"Kidder, Tracy.","Kidder, Tracy",,,,"Kidder, Tracy",n81040847,52278563,Q338109,1989,mdp.39015021484988,ic,Among schoolchildren / Tracy Kidder.,"Houghton Mifflin Co., 1989.",['0395475910 :'],0395475910,['89034378'],['19778983'],19324787.0,116.0,3236.0,790,mau,Houghton Mifflin Co.
771,6912,"Hollo, Anselm.","Hollo, Anselm",,,,"Hollo, Anselm",n79059776,2485795,Q252476,1990,mdp.39015018983406,ic,Outlying districts : poems / by Anselm Hollo.,"Coffee House Press, 1990.",['0918273765 :'],0918273765,['90035355'],['21406870'],20314561.0,13.0,251.0,3119,mnu,Coffee House Press
772,6913,"Lux, Thomas 1946-","Lux, Thomas",,,,"Lux, Thomas, 1946-2017",n79063797,4959112,Q7791985,1990,mdp.39015018939267,ic,The drowned river : new poems / by Thomas Lux.,"Houghton Mifflin, 1990.","['0395517540 (pbk.) :,0395517532 :']",0395517532,['89027423'],['20452606'],21992310.0,11.0,259.0,4359,mau,Houghton Mifflin
773,6914,"Strand, Mark 1934-","Strand, Mark",,,,"Strand, Mark, 1934-2014",n79090257,49272680,Q928775,1990,mdp.39015018919293,ic,The continuous life : poems / by Mark Strand.,"Knopf : Distributed by Random House, 1990.",['0394588177 :'],0394588177,['90-52947'],['21525368'],23233843.0,87.0,801.0,87,nyu,Knopf :
774,6915,"Bell, Marvin 1937","Bell, Marvin",,,,"Bell, Marvin, 1937-",n50006519,12325040,Q6778291,1990,mdp.39015018908288,ic,Iris of creation : poems / by Marvin Bell.,"Copper Canyon Press, 1990.","['1556590326 (pbk) :,1556590318 (cloth)']",1556590318,['90-81355'],['22162899'],198104230.0,164.0,407.0,158,xx,Copper Canyon Press
775,6916,"Cronin, Justin.","Cronin, Justin",,,,"Cronin, Justin",nr91025228,305869306,Q153701,1990,mdp.39015018908262,ic,A short history of the long ball / by Justin Cronin.,"Council Oak Books, c1990.",['0933031238 :'],0933031238,['90080294'],['21915652'],23154958.0,11.0,99.0,1905,oku,Council Oak Books
776,6917,"Eprile, Tony.","Eprile, Tony",,,,"Eprile, Tony",n91102207,73039210,Q7822298,1989,mdp.39015018906464,ic,"Temporary sojourner, and other South African stories / Tony Eprile.","Simon & Schuster, c1989.","['0671682059 (hard),067164596X (pbk.) :']",067164596X,['88033574'],['18990168'],19235095.0,10.0,275.0,3701,nyu,Simon & Schuster
777,6918,"Hall, Douglas Kent.","Hall, Douglas Kent",,,,"Hall, Douglas Kent",n79085100,91645786,Q5301683,1990,mdp.39015018837099,ic,Frontier spirit : early churches of the Southwest / photographs and text by Douglas Kent Hall.,"Abbeville Press, 1990.",['0896599140 :'],0896599140,['89028342'],['20522808'],432880963.0,2.0,402.0,186,nyu,Abbeville Press
778,6919,"Santos, Bienvenido N.","Santos, Bienvenido N.",,,,"Santos, Bienvenido N.",n79021625,8656216,Q4904598,1983,mdp.39015001722613,ic,The man who (thought he) looked like Robert Taylor : a novel / by Bienvenido N. Santos.,"New Day Publishers, 1983.","['9711000989 (pbk. : newsprint),9711000970 (pbk. : bookprint),9711000962']",9711000962,['84222452'],['11013694'],197861215.0,2.0,99.0,3622,ph,New Day Publishers
