id	author1	author1_normalized	author2	author3	author4	author_authorized_heading	author_lccn	author_viaf	author_wikidata_qid	date	htid	hathi_rights	title	imprint	isbn	isbn_most_common_edition	lccn	oclc	oclc_owi	oclc_eholdings	oclc_holdings	person_id	place	publisher_marc
6422	Jarman, Mark 1952-	Jarman, Mark				Jarman, Mark, 1952-	n79058290	73904557	Q6768234	2007	mdp.39015066409718	ic	Epistles : poems / Mark Jarman.	Sarabande Books, 2007.	['1932511539 (pbk. : alk. paper),9781932511536 (pbk. : alk. paper),1932511520 (hardcover : alk. paper),9781932511529 (hardcover : alk. paper)']	9781932511529	['2006037520']	['76167380']	198250943	10	211	937	kyu	Sarabande Books
6423	Johnson, Denis 1949-	Johnson, Denis				Johnson, Denis, 1949-2017	n81147004	51707360	Q340016	2007	mdp.39015070739217	ic	Tree of smoke / Denis Johnson.	Farrar, Straus and Giroux, 2007.	['0374279128,9780374279127']	9780374279127	['2007006562']	['83977529']	68221937	105	3124	786	nyu	Farrar, Straus and Giroux
6424	McPherson, Sandra.	McPherson, Sandra				McPherson, Sandra	n81082863	72717074	Q7416709	2007	mdp.39015070746493	ic	Expectation days : poems / by Sandra McPherson.	University of Illinois Press, c2007.	['0252074750 (pbk. : acid-free paper),9780252074752 (pbk. : acid-free paper),0252032349 (cloth : acid-free paper),9780252032349 (cloth : acid-free paper)']	9780252032349	['2007011383']	['86038619']	69890690	2	194	3690	ilu	University of Illinois Press
6425	Stonecipher, Donna 1969-	Stonecipher, Donna				Stonecipher, Donna, 1969-	n2002032171	11664702	Q5296473	2007	mdp.39015070745222	ic	Souvenir de Constantinople / Donna Stonecipher.	Instance Press, 2007.	['0967985455,9780967985459']	9780967985459	['2007921745']	['122354756']	101401822	2	59	2535	cou	Instance Press
6426	Packer, Ann 1959-	Packer, Ann				Packer, Ann, 1959-	n93082272	39617308	Q4766601	2007	uc1.32106019118212	ic	Songs without words / Ann Packer	Alfred A. Knopf, 2007	['0375412816', '9780375412813']	9780375412813	['2006100512']	['76925237']	62676787	109	1965	87	nyu	Alfred A. Knopf
6427	Christensen, Kate 1962-	Christensen, Kate				Christensen, Kate, 1962-	n99010542	71557708	Q6375429	2007	uc1.32106019112421	ic	The great man : a novel / Kate Christensen	Doubleday, c2007	['0385518455', '9780385518451']	9780385518451	['2007005927']	['84903243']	497746014	72	962	1903	nyu	Doubleday
6428	Marvin, Cate 1969-	Marvin, Cate				Marvin, Cate, 1969-	n00043223	62777340	Q5051784	2007	mdp.39015070685519	ic	Fragment of the head of a queen : poems / by Cate Marvin.	Sarabande Books, c2007.	['1932511512 (pbk. : alk. paper),9781932511512 (pbk. : alk. paper)']	9781932511512	['2006032135']	['71800696']	475892848	11	179	2414	kyu	Sarabande Books
6429	Klink, Joanna 1969-	Klink, Joanna				Klink, Joanna, 1969-	n00026010	20914235	Q6205871	2007	mdp.39015070685642	ic	Circadian / Joanna Klink.	Penguin Books, c2007.	['0143038842,9780143038849']	9780143038849	['2006052761']	['76792181']	62569649	32	165	2355	nyu	Penguin Books
6430	Wilson, Antoine.	Wilson, Antoine				Wilson, Antoine	n00086588	40608050	Q17149063	2007	mdp.39015068815839	ic	The interloper : a novel / Antoine Wilson.	Handsel Books, c2007.	['9781590512630 (pbk. : acid-free paper),1590512634 (pbk. : acid-free paper)']	1590512634	['2006014546']	['68133203']	477190136	44	151	2486	nyu	Handsel Books
6431	Bell, Marvin 1937	Bell, Marvin				Bell, Marvin, 1937-	n50006519	12325040	Q6778291	2007	uc1.32106018938214	ic	Mars being red / Marvin Bell	Copper Canyon Press, c2007	['1556592574 (pbk. : alk. paper)', '9781556592577 (pbk. : alk. paper)']	9781556592577	['2006101743']	['77520560']	63098712	54	293	158	wau	Copper Canyon Press
6432	Hong, Cathy Park.	Hong, Cathy Park				Hong, Cathy Park	no2002039439	78445541	Q5053480	2007	mdp.39015069362302	ic	Dance dance revolution : poems / Cathy Park Hong.	W.W. Norton, c2007.	['0393064840 (hardcover),9780393064841 (hardcover)']	9780393064841	['2007002386']	['79256845']	477124414	2	315	2558	nyu	W.W. Norton
6433	Revell, Donald 1954-	Revell, Donald				Revell, Donald, 1954-	n82162357	59102325	Q5295056	2007	mdp.39015069302258	ic	A thief of strings / Donald Revell.	Alice James Books, c2007.	['1882295617,9781882295616']		[]	[]				3639	meu	Alice James Books
6434	Young, Dean 1955-	Young, Dean				Young, Dean, 1955-	n87939108	16302062	Q5246572	2007	mdp.39015069332941	ic	Embryoyo / By Dean Young.	Believer Books : a division of McSweeney's, 2007.	['1932416692,9781932416695']	9781932416695	[]	['85592291']	69540680	11	140	3637	cau	Belviever Books
6435	Englander, Nathan	Englander, Nathan				Englander, Nathan	n98075379	97520065	Q1655990	2007	mdp.39015069302449	ic	The Ministry of Special Cases / Nathan Englander	Alfred A. Knopf, 2007	['0375404937,9780375404931']	9780375404931	['2006048731']	['72799775']	59496111	118	1650	2233	nyu	Alfred A. Knopf
6436	Rohrer, Matthew.	Rohrer, Matthew				Rohrer, Matthew	n95009745	31238135	Q6791152	2007	mdp.39015068794000	ic	Rise up / Matthew Rohrer.	Wave Books ; Distributed to the trade by Consortium Book Sales and Distribution, 2007.	['1933517182 (trade paper : alk. paper),9781933517186 (trade paper : alk. paper),1933517190 (hardcover : alk. paper),9781933517193 (hardcover : alk. paper)']	9781933517193	['2006038909']	['76828809']	62598752	2	125	2173	wau	Wave Books ;
