record_id,wikidata_work_qid,title,creator,released,year_set,years_distant,multiyears,medium,genre,wikipedia_pg,verify_yr,notes,is_episode,predictions,source
peck_world_1900,Q7776086,The World a Department Store,Bradford C. Peck,1900,1925,25,,fiction,novel,https://en.wikipedia.org/wiki/The_World_a_Department_Store,,,,"By 1925, the socialist Coöperative Association of America has eliminated poverty, tenements, slums, litter and other aspects of the old style American economy. Photo IDs are used. Both men and women pursue physical fitness, and work out in gymnasiums. The public school system monitors the schoolchildren's nutritional needs.",wikipast
qichao_future_1902,Q10303294,Future of a New China,Liang Qichao,1902,1962,60,1903-1962,fiction,novel,https://en.wikipedia.org/wiki/Xin_Zhongguo_weilai_ji,,,,"In 1962, China is a utopia, a world power, wealthy, Confucian and a constitutional monarchy.",wikipast
jarry_supermale_1902,Q3227464,Supermale,Alfred Jarry,1902,1920,18,,fiction,science fiction,https://en.wikipedia.org/wiki/Supermale_(novel),,,,"In the 1920s, certain men are supermales who are capable of prodigious feats of endurance and sexual athleticism. Perpetual-motion food gives cyclists the strength and stamina to keep up with the train. Love machines can make one person fall in love with another.",wikipast
herzl_old_1902,Q443071,The Old New Land,Theodor Herzl,1902,1923,21,,fiction,novel,https://en.wikipedia.org/wiki/The_Old_New_Land,,,,"By 1923, a Jewish state officially named the New Society has risen as European Jews have rediscovered and re-inhabited their Altneuland in the Land of Israel.",wikipast
chesterton_napoleon_1904,Q3792823,The Napoleon of Notting Hill,G. K. Chesterton,1904,1984,80,,fiction,political novel,https://en.wikipedia.org/wiki/The_Napoleon_of_Notting_Hill,,,,,wikidata
verne_invasion_1905,Q1193083,Invasion of the Sea,Jules Verne,1905,1930,25,,fiction,adventure fiction,https://en.wikipedia.org/wiki/Invasion_of_the_Sea,,,,"In the 1930s, European engineers and their military escort seek to revive an actual 19th century proposal to flood the Sahara desert with waters from the Mediterranean Sea to create an inland ""Sahara Sea"" for both commercial and military purposes.",wikipast
kipling_with_1905,Q73629129,With the Night Mail,Rundyard Kipling,1905,2000,95,,fiction,,https://en.wikipedia.org/wiki/With_the_Night_Mail,,,,"Describes the Aerial Board of Control, a supranational organization dedicated to the control and aid of airship traffic across the whole world.",wikipast
casparian_anglo-american_1906,Q4749793,An Anglo-American Alliance,Gregory Casparian,1906,1960,54,,fiction,LGBTIQA+ themes in literature,https://en.wikipedia.org/wiki/An_Anglo-American_Alliance,,,,"In 1960, the United States and the British Empire are the world's major colonial powers. Technological advances include prenatal sex discernment, suspended animation and a cure for laziness.",wikipast
fyodorov_one_1906,Q64506288,One Evening in 2217,Nikolai Fyodorovich Fyodorov,1906,2217,311,,fiction,futuristic fiction,,,,,,wikidata
queux_invasion_1906,Q7742402,The Invasion of 1910,William Le Queux,1906,1910,4,,fiction,invasion literature,https://en.wikipedia.org/wiki/The_Invasion_of_1910,,,,"In 1910, Germany launches an invasion of the UK. The German forces eventually reach London and occupy half the city. Although London is later liberated, the war is a stalemate as Germany has occupied Belgium and the Netherlands.",wikipast
wells_in_1906,Q2637002,In the Days of the Comet,H. G. Wells,1906,NaN,,After 1906,fiction,science fiction,https://en.wikipedia.org/wiki/In_the_Days_of_the_Comet,,Year not specified.,,"A comet lands in 1906, spreading a green fog. Starting in Book II, the narrator wakes up to find a more peaceful and rational 20th century society.",wikipast
benson_lord_1907,Q1194272,Lord of the World,Robert Hugh Benson,1907,2000,93,1917-ca. 2000,fiction,dystopian fiction,https://en.wikipedia.org/wiki/Lord_of_the_World,https://www.catholicity.com/mccloskey/lord-of-the-world.html,Majority of novel set around year 2000,,"Since the Labour Party took control of the British Government in 1917, the British Empire has been a single party state. The British Royal Family has been deposed, the House of Lords has been abolished, Oxford and Cambridge have been closed down and all their professors sent into internal exile in Ireland. The Anglican Communion was disestablished in 1929 and, like all forms of Protestantism, is almost extinct. The world now has only three main religious forces: Catholicism, secular humanism, and ""the Eastern religions."" The novel predicted widespread use of heavier-than-air craft.",wikipast
wells_war_1907,Q964055,The War in the Air,H. G. Wells,1907,1918,11,Late 1910s,fiction,apocalyptic fiction,https://en.wikipedia.org/wiki/The_War_in_the_Air,,From the novel: “Late in the afternoon of a pleasant summer day in the year 191-”. Wikipedia specifies “late 1910s.”,,"Depicts a world war, initiated by Germany against the United States, who later ally with a combined China/Japan empire and the British Empire, respectively, fought using fixed-wing heavier-than-air craft. Predicted the use of military aircraft, a world war before 1920, an attack by Japan against the United States, the denial of rights to US citizens of Japanese descent, and a global financial collapse.",wikipast
